Instrument,Side of Market,Quantity,Entry Price,Entry Time,Exit Time,Exit Price,Result Gain/Loss in Points,Gain/Loss in Dollars,ID,Commission,Account
NQ MAR25,Long,1,21538.75,2025-01-28 10:59:51,2025-01-28 11:01:29,21535.75,-3.0,-63.1,158015081194,3.1,APEX1279810000027
NQ MAR25,Long,1,21539.75,2025-01-28 10:59:51,2025-01-28 11:01:29,21535.75,-4.0,-83.1,158012701257,3.1,APEX1279810000026
MNQ MAR25,Long,9,21539.5,2025-01-28 10:59:52,2025-01-28 11:01:29,21535.75,-3.75,-67.5,e6c4685b7fa74bb6a8af5cacebc76cb7,0.0,Sim101
MNQ MAR25,Long,1,21539.75,2025-01-28 10:59:52,2025-01-28 11:01:29,21535.75,-4.0,-8.0,14a8742a4ded432980180c537a8bdf0c,0.0,Sim101
NQ MAR25,Long,1,21538.75,2025-01-28 10:59:52,2025-01-28 11:01:29,21535.75,-3.0,-63.1,158031531194,3.1,APEX1279810000028
NQ MAR25,Long,1,21537.5,2025-01-28 11:03:40,2025-01-28 11:03:52,21533.25,-4.25,-88.1,158015081214,3.1,APEX1279810000027
NQ MAR25,Long,1,21537.5,2025-01-28 11:03:40,2025-01-28 11:03:52,21533.25,-4.25,-88.1,158012701277,3.1,APEX1279810000026
NQ MAR25,Long,1,21537.5,2025-01-28 11:03:40,2025-01-28 11:03:52,21533.25,-4.25,-88.1,158031531214,3.1,APEX1279810000028
MNQ MAR25,Long,10,21537.5,2025-01-28 11:03:40,2025-01-28 11:03:52,21533.25,-4.25,-85.0,d2766097d8954d4193dcfedd17c07924,0.0,Sim101
NQ MAR25,Long,1,21533.5,2025-01-28 11:04:16,2025-01-28 11:04:20,21529.0,-4.5,-93.1,158015081234,3.1,APEX1279810000027
NQ MAR25,Long,1,21533.5,2025-01-28 11:04:16,2025-01-28 11:04:20,21529.0,-4.5,-93.1,158031531234,3.1,APEX1279810000028
NQ MAR25,Long,1,21533.25,2025-01-28 11:04:16,2025-01-28 11:04:20,21529.0,-4.25,-88.1,158012701297,3.1,APEX1279810000026
MNQ MAR25,Long,10,21533.0,2025-01-28 11:04:16,2025-01-28 11:04:20,21529.0,-4.0,-80.0,5c062c671ca54f49a4b9972aa087853d,0.0,Sim101
NQ MAR25,Long,1,21528.75,2025-01-28 11:06:40,2025-01-28 11:08:02,21524.75,-4.0,-83.1,158031531254,3.1,APEX1279810000028
MNQ MAR25,Long,10,21528.5,2025-01-28 11:06:40,2025-01-28 11:08:02,21524.75,-3.75,-75.0,76e8a53b7b614e8eaf5baf0359b1ef0f,0.0,Sim101
NQ MAR25,Long,1,21528.75,2025-01-28 11:06:40,2025-01-28 11:08:02,21524.75,-4.0,-83.1,158012701317,3.1,APEX1279810000026
NQ MAR25,Long,1,21528.75,2025-01-28 11:06:40,2025-01-28 11:08:02,21524.75,-4.0,-83.1,158015081254,3.1,APEX1279810000027
NQ MAR25,Long,1,21519.75,2025-01-28 11:09:46,2025-01-28 11:10:15,21515.75,-4.0,-83.1,158031531274,3.1,APEX1279810000028
NQ MAR25,Long,1,21519.75,2025-01-28 11:09:46,2025-01-28 11:10:15,21515.75,-4.0,-83.1,158015081274,3.1,APEX1279810000027
NQ MAR25,Long,1,21519.75,2025-01-28 11:09:46,2025-01-28 11:10:15,21515.75,-4.0,-83.1,158012701337,3.1,APEX1279810000026
MNQ MAR25,Long,5,21520.0,2025-01-28 11:09:46,2025-01-28 11:10:15,21515.75,-4.25,-42.5,1bb464d402414f39a0f24689e86f8994,0.0,Sim101
MNQ MAR25,Long,5,21519.75,2025-01-28 11:09:46,2025-01-28 11:10:15,21515.75,-4.0,-40.0,b9096ca600f643a9991c3e4fd650653a,0.0,Sim101
MNQ MAR25,Long,4,21518.0,2025-01-28 11:11:00,2025-01-28 11:17:43,21542.0,24.0,192.0,b3ea69d29bb842fcbfecdb3f62708ba9,0.0,Sim101
NQ MAR25,Long,1,21517.75,2025-01-28 11:11:00,2025-01-28 11:17:43,21542.0,24.25,481.9,158012701361,3.1,APEX1279810000026
NQ MAR25,Long,1,21517.75,2025-01-28 11:11:00,2025-01-28 11:17:43,21542.0,24.25,481.9,158015081298,3.1,APEX1279810000027
NQ MAR25,Long,1,21517.75,2025-01-28 11:11:00,2025-01-28 11:17:43,21542.0,24.25,481.9,158031531298,3.1,APEX1279810000028
MNQ MAR25,Long,6,21517.75,2025-01-28 11:11:00,2025-01-28 11:17:43,21542.0,24.25,291.0,50e9ab19633d4798b235c26ecee12516,0.0,Sim101
